City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Beringovskiy,RU,2021-09-18 01:11:42,63.05,179.3167,48.83,49,7,8.32
260,Kintinku,TZ,2021-09-18 01:11:42,-5.8833,35.2333,72.34,57,3,3.56
261,Tocopilla,CL,2021-09-18 01:06:55,-22.092,-70.1979,62.74,70,100,7.02
262,Ossora,RU,2021-09-18 01:11:43,59.2353,163.0719,57.18,65,11,3.96
263,Lebu,CL,2021-09-18 01:11:43,-37.6167,-73.65,50.61,85,100,8.99
264,Muhos,FI,2021-09-18 01:11:44,64.808,25.9931,39.88,81,100,3.04
265,Hervey Bay,AU,2021-09-18 01:11:44,-25.2986,152.8535,77.04,54,0,9.24
266,Carlagan,PH,2021-09-18 01:11:45,14.975,122.0456,84.06,75,6,6.46
267,Maracacume,BR,2021-09-18 01:11:45,-2.0428,-45.9592,72.95,96,3,3.83
268,Vardo,NO,2021-09-18 01:11:45,70.3705,31.1107,42.51,77,21,15.43
269,Bam,IR,2021-09-18 01:11:46,29.106,58.357,79.7,10,5,4.05
270,Alasehir,TR,2021-09-18 01:11:46,38.3508,28.5172,69.31,40,6,1.92
271,Panama City,PA,2021-09-18 01:08:43,8.9936,-79.5197,80.17,84,100,6.76
272,Sinnamary,GF,2021-09-18 01:11:47,5.3833,-52.95,79.07,85,50,8.34
273,Tolmin,SI,2021-09-18 01:11:47,46.183,13.7332,66.22,82,78,4.52
274,Constitucion,CL,2021-09-18 01:09:35,-35.3333,-72.4167,51.13,88,99,12.33
275,Lazaro Cardenas,MX,2021-09-18 01:11:48,17.9583,-102.2,79.66,84,78,1.99
276,Alice Springs,AU,2021-09-18 01:11:48,-23.7,133.8833,68.65,38,20,19.3
277,Bredasdorp,ZA,2021-09-18 01:11:49,-34.5322,20.0403,54.28,85,0,12.5
278,Jadu,LY,2021-09-18 01:11:49,31.953,12.0261,74.59,25,0,17.74
279,Puerto Ayacucho,VE,2021-09-18 01:11:50,5.6639,-67.6236,75.22,93,96,3.96
280,Victoria,HK,2021-09-18 01:09:57,22.2855,114.1577,86.97,84,74,1.01
281,Mwanza,TZ,2021-09-18 01:11:50,-2.5167,32.9,71.94,72,88,8.48
282,Cayenne,GF,2021-09-18 01:11:50,4.9333,-52.3333,79.09,86,65,1.99
283,Chapais,CA,2021-09-18 01:11:51,49.7834,-74.8492,64.65,64,19,15.95
284,Pankrushikha,RU,2021-09-18 01:11:51,53.8319,80.3406,43.61,84,2,10.71
285,Phenix City,US,2021-09-18 01:09:01,32.471,-85.0008,76.98,90,100,3.85
286,Stryn,NO,2021-09-18 01:11:52,61.9045,6.7226,53.31,77,100,7.74
287,Lasa,IT,2021-09-18 01:11:52,46.6166,10.7002,58.37,87,48,2.84
288,Havelock,US,2021-09-18 01:11:53,34.8791,-76.9013,74.95,96,55,5.35
289,Port Lincoln,AU,2021-09-18 01:11:53,-34.7333,135.8667,58.42,56,83,20.15
290,Pierreville,CA,2021-09-18 01:11:54,46.0703,-72.8112,70.74,75,100,14.2
291,Turkistan,KZ,2021-09-18 01:11:54,43.0,68.0,68.13,27,32,1.28
292,Asau,RO,2021-09-18 01:11:54,46.4333,26.4,64.76,80,100,6.31
293,Chalchihuites,MX,2021-09-18 01:11:55,23.4833,-103.8833,66.78,59,99,5.59
294,Chara,RU,2021-09-18 01:11:55,56.9064,118.2631,39.88,55,1,4.27
